date,open,high,low,close,volume,rsi_7,macd,bollinger
2014-01-02,19.845715,19.893929,19.715,19.754642,234684800,44.149613923838366,0.19463659982241666,19.97926765
2014-01-03,19.745001,19.775,19.301071,19.320715,392467600,33.094332451293155,0.13288685668416633,19.9363748
2014-01-06,19.194643,19.52857,19.057142,19.426071,412610800,37.52566102573004,0.09139751538047847,19.893571200000004
2014-01-07,19.440001,19.498571,19.21143,19.287144,317209200,34.05562434655792,0.04676755837256508,19.857892749999998
2014-01-08,19.243214,19.484285,19.23893,19.409286,258529600,39.76849736719852,0.021011625556269564,19.8168749
2014-01-09,19.52857,19.530714,19.119642,19.161428,279148800,33.00021739904459,-0.01917912091436591,19.765035599999997
2014-01-10,19.279642,19.314285,18.968214,19.033571,304976000,29.93419658795078,-0.06064845079504977,19.7142856
2014-01-13,18.925358,19.375,18.924286,19.133215,378492800,35.3920016088162,-0.08449870697435813,19.6699821
2014-01-14,19.222143,19.526072,19.202143,19.513929,332561600,52.04351576926664,-0.07185150936715345,19.655625
2014-01-15,19.768572,20.007143,19.702143,19.905714,391638800,63.37607658591734,-0.029870411470774627,19.65537505
2014-01-16,19.817858,19.887501,19.702856,19.794643,229278000,58.78173982948657,-0.005499199015311262,19.6540536
2014-01-17,19.695715,19.716785,19.282143,19.309643,426739600,42.9281532921712,-0.0250317339437629,19.6360179
2014-01-21,19.321072,19.645357,19.300714,19.609644,328526800,52.22639549593217,-0.016118036451658213,19.6442501
2014-01-22,19.675358,19.903214,19.564644,19.696787,379985200,54.72607140637987,-0.001999110659077985,19.6486966
2014-01-23,19.640715,19.875,19.4575,19.863571,403239200,59.46221028245486,0.02239021421379661,19.6238573
2014-01-24,19.785713,19.843571,19.455357,19.502501,429354800,47.03482891756482,0.012440195676557408,19.585285849999998
2014-01-27,19.645357,19.814285,19.491072,19.660713,554878800,52.147395341838966,0.017123728768812185,19.5613572
2014-01-28,18.17,18.392857,17.93107,18.089287,1065523200,24.6148285112604,-0.104757898798443,19.46566085
2014-01-29,17.998215,18.120358,17.807858,17.883928,502810000,22.781020554294102,-0.2154372947549028,19.369643000000003
2014-01-30,17.947857,18.089287,17.739286,17.849285,678501600,22.451822558713204,-0.3024603395066734,19.26028585
2014-01-31,17.684999,17.911785,17.626785,17.878571,464797200,23.54150785091825,-0.3648577410705691,19.166482300000002
2014-02-03,17.950357,18.133215,17.832144,17.911785,401464000,24.937113338911615,-0.4069371213158419,19.096035800000003
2014-02-04,18.066071,18.195,17.955713,18.17107,376681200,35.63693751239691,-0.41458413295764984,19.033285749999997
2014-02-05,18.091429,18.402857,18.080357,18.306786,328344800,40.790889447768585,-0.4050244283183453,18.984267850000002
