date,open,high,low,close,volume,rsi_7
2014-01-02,19.845715,19.893929,19.715,19.754642,234684800,44.149613923838366
2014-01-03,19.745001,19.775,19.301071,19.320715,392467600,33.094332451293155
2014-01-06,19.194643,19.52857,19.057142,19.426071,412610800,37.52566102573004
2014-01-07,19.440001,19.498571,19.21143,19.287144,317209200,34.05562434655792
2014-01-08,19.243214,19.484285,19.23893,19.409286,258529600,39.76849736719852
2014-01-09,19.52857,19.530714,19.119642,19.161428,279148800,33.00021739904459
2014-01-10,19.279642,19.314285,18.968214,19.033571,304976000,29.93419658795078
2014-01-13,18.925358,19.375,18.924286,19.133215,378492800,35.3920016088162
2014-01-14,19.222143,19.526072,19.202143,19.513929,332561600,52.04351576926664
2014-01-15,19.768572,20.007143,19.702143,19.905714,391638800,63.37607658591734
2014-01-16,19.817858,19.887501,19.702856,19.794643,229278000,58.78173982948657
2014-01-17,19.695715,19.716785,19.282143,19.309643,426739600,42.9281532921712
2014-01-21,19.321072,19.645357,19.300714,19.609644,328526800,52.22639549593217
2014-01-22,19.675358,19.903214,19.564644,19.696787,379985200,54.72607140637987
2014-01-23,19.640715,19.875,19.4575,19.863571,403239200,59.46221028245486
2014-01-24,19.785713,19.843571,19.455357,19.502501,429354800,47.03482891756482
2014-01-27,19.645357,19.814285,19.491072,19.660713,554878800,52.147395341838966
2014-01-28,18.17,18.392857,17.93107,18.089287,1065523200,24.6148285112604
2014-01-29,17.998215,18.120358,17.807858,17.883928,502810000,22.781020554294102
2014-01-30,17.947857,18.089287,17.739286,17.849285,678501600,22.451822558713204
2014-01-31,17.684999,17.911785,17.626785,17.878571,464797200,23.54150785091825
2014-02-03,17.950357,18.133215,17.832144,17.911785,401464000,24.937113338911615
2014-02-04,18.066071,18.195,17.955713,18.17107,376681200,35.63693751239691
2014-02-05,18.091429,18.402857,18.080357,18.306786,328344800,40.790889447768585
2014-02-06,18.216429,18.339287,18.13607,18.303928,257765200,40.71079706168611
2014-02-07,18.620714,18.676071,18.477858,18.559999,370280400,50.80735214984736
2014-02-10,18.523571,18.999643,18.5,18.8925,345559200,60.895356968383844
2014-02-11,18.950357,19.205357,18.910713,19.14143,282256800,66.83564739193503
2014-02-12,19.176786,19.27,19.044287,19.139999,308100800,66.76762459855482
2014-02-13,19.094999,19.458929,19.078571,19.44393,307398000,73.46060405488154
2014-02-14,19.373928,19.499287,19.32893,19.428213,272924400,72.57872528633696
2014-02-18,19.5,19.685356,19.486071,19.499643,260251600,74.21969380587544
2014-02-19,19.455357,19.531786,19.083929,19.191786,313768000,57.05240422449911
2014-02-20,19.035357,19.178572,18.892857,18.969643,305858000,47.75374378313448
2014-02-21,19.028214,19.091785,18.735714,18.758928,278784800,40.45670639483893
2014-02-24,18.683929,18.925714,18.657858,18.84107,288909600,44.32580420713798
2014-02-25,18.906429,18.913214,18.607143,18.645,231952000,37.53387799827595
2014-02-26,18.700357,18.75,18.414286,18.476786,276217200,32.54285306646368
2014-02-27,18.469286,18.885,18.430357,18.845358,301882000,49.655739199333034
2014-02-28,18.895714,19.026787,18.647142,18.794287,371968800,47.69956069218865
2014-03-03,18.693571,18.951786,18.671785,18.848572,238781200,50.13558720557823
2014-03-04,18.964287,19.022858,18.848928,18.972857,259140000,55.65289951461096
2014-03-05,18.96143,19.098213,18.897499,19.012857,200062800,57.42183449048891
2014-03-06,19.028214,19.087143,18.860714,18.955357,185488800,53.82138943904825
2014-03-07,18.967501,18.999287,18.7875,18.944286,220729600,53.073864593312884
2014-03-10,18.870001,19.047501,18.869286,18.96143,178584000,54.22253275664087
2014-03-11,19.123215,19.240713,19.02107,19.14607,279224400,64.99035589792388
2014-03-12,19.089643,19.191071,19.0,19.164642,199326400,65.93076791709487
2014-03-13,19.194286,19.273571,18.898571,18.951786,257742800,48.507979226684014
2014-03-14,18.885357,18.960358,18.678572,18.73893,237199200,37.077050772167844
2014-03-17,18.84643,18.9275,18.780357,18.812143,199544800,42.51313348917573
2014-03-18,18.782143,18.998928,18.757143,18.978571,209647200,53.22922740775063
2014-03-19,19.009287,19.151428,18.892857,18.973572,224756000,52.88377054963567
2014-03-20,18.924643,19.02393,18.833929,18.882143,208398400,46.45115240227601
2014-03-21,18.997499,19.0625,18.797501,19.031071,374046400,56.5052176339504
2014-03-24,19.229286,19.303572,19.109285,19.256786,355700800,67.34596600274658
2014-03-25,19.339287,19.491072,19.27107,19.463928,282293200,74.22434804734503
2014-03-26,19.518572,19.607143,19.245001,19.277857,299768000,60.80209775858118
2014-03-27,19.286428,19.339287,19.111429,19.195,222031600,55.5805518738229
2014-03-28,19.225714,19.247856,19.080357,19.173571,200564000,54.17672745306353
2014-03-31,19.258215,19.314644,19.140356,19.169287,168669200,53.85944492403738
2014-04-01,19.205713,19.352501,19.170357,19.344643,200760000,63.943494683810215
2014-04-02,19.370714,19.41,19.295,19.376785,180420800,65.55339025659984
2014-04-03,19.335358,19.375,19.201429,19.2425,162344000,53.83694475844843
2014-04-04,19.278929,19.285713,18.949286,18.99357,275251200,38.828196743656854
2014-04-07,18.857857,18.960714,18.638929,18.695356,289850400,27.941225255677978
2014-04-08,18.756786,18.790001,18.525,18.694286,243888400,27.908468686331204
2014-04-09,18.665714,18.946072,18.643572,18.940001,206169600,45.139383324449206
2014-04-10,18.952856,19.008572,18.684643,18.695715,239652000,35.34166791172693
2014-04-11,18.535713,18.672501,18.469286,18.557501,271717600,30.91266564297473
2014-04-14,18.639286,18.648571,18.471786,18.63143,205674000,35.923683864085575
2014-04-15,18.581072,18.629999,18.261786,18.498571,266490000,31.181792880970335
2014-04-16,18.501785,18.610357,18.362143,18.536072,214765600,34.04856775816431
2014-04-17,18.571428,18.848572,18.542856,18.747856,284334400,48.251681522728724
2014-04-21,18.762142,19.004999,18.712856,18.970358,182548800,59.058751796638845
2014-04-22,18.868214,18.993929,18.803572,18.989286,202563200,59.89009615122924
2014-04-23,18.895,18.968929,18.730356,18.741072,394940000,45.694537349188536
2014-04-24,20.293215,20.357143,20.026072,20.2775,759911600,79.97372110825263
2014-04-25,20.161785,20.428213,20.14143,20.42643,390275200,81.30803692623886
2014-04-28,20.457144,21.276787,20.448214,21.217501,669485600,86.77044084622126
2014-04-29,21.205,21.285,21.053928,21.154642,337377600,84.48173225229021
2014-04-30,21.165714,21.408215,21.064285,21.074642,456640800,81.29777897327668
2014-05-01,21.142857,21.242857,20.941429,21.124287,244048000,81.79452923803935
2014-05-02,21.155001,21.22143,21.061071,21.16357,191514400,82.23024403329285
2014-05-05,21.076429,21.464287,21.071428,21.462856,287067200,85.34731181334381
2014-05-06,21.492857,21.586071,21.22893,21.22893,374564400,73.57798658104562
2014-05-07,21.258928,21.331785,20.990356,21.154642,282864400,70.00150450389314
2014-05-08,21.008928,21.22893,20.942858,20.999643,230297200,62.59512923054584
2014-05-09,20.876429,20.9375,20.72607,20.912144,291597600,58.51752323982973
2014-05-12,20.981787,21.202143,20.978571,21.172501,213208800,66.16824207076479
2014-05-13,21.142857,21.23357,21.09643,21.205713,159737200,67.0720473056287
2014-05-14,21.158215,21.335714,21.133572,21.209642,166404000,67.19300972561933
2014-05-15,21.239286,21.307142,21.001429,21.029285,230846000,56.14690146305513
2014-05-16,21.022499,21.340357,20.907143,21.339643,276256400,67.02864954948089
2014-05-19,21.351786,21.690357,21.333214,21.592501,317755200,73.32118255089895
2014-05-20,21.589643,21.657143,21.454643,21.596786,234836000,73.42146863266885
2014-05-21,21.565357,21.667856,21.502144,21.653929,196859600,74.88998905523698
2014-05-22,21.664286,21.780357,21.575001,21.688213,200760000,75.82494618830408
2014-05-23,21.6875,21.954643,21.659643,21.933214,232209600,81.55185895442851
2014-05-27,21.995714,22.352142,21.986786,22.343929,348866000,87.39287752740964
2014-05-28,22.357857,22.493929,22.277857,22.286072,315481600,83.0702895873727
2014-05-29,22.423214,22.745358,22.420357,22.692142,376474000,87.95042051115855
2014-05-30,22.785,23.006071,22.460714,22.607143,564020800,82.16632435684852
2014-06-02,22.64143,22.672501,22.232143,22.451786,369350800,72.06076715724916
2014-06-03,22.445,22.812143,22.4375,22.769285,292709200,78.39595846091278
2014-06-04,22.765715,23.138929,22.718214,23.029285,335482000,82.24275065145873
2014-06-05,23.078571,23.191786,22.950357,23.119642,303805600,83.43839339227551
2014-06-06,23.210714,23.259287,23.016787,23.05607,349938400,79.06841173005998
2014-06-09,23.174999,23.469999,22.9375,23.424999,301660000,84.54775935342188
2014-06-10,23.682501,23.762501,23.3925,23.5625,251108000,86.12686483061253
2014-06-11,23.532499,23.690001,23.3675,23.465,182724000,79.41322471479873
2014-06-12,23.51,23.530001,22.975,23.0725,218996000,58.131286134542925
2014-06-13,23.049999,23.110001,22.719999,22.82,218100000,48.3969776337515
2014-06-16,22.877501,23.1875,22.862499,23.049999,142244000,56.192648982508224
2014-06-17,23.077499,23.174999,22.950001,23.02,118904000,54.92990629852288
2014-06-18,23.067499,23.0725,22.8375,23.045,134056000,55.89355215528702
2014-06-19,23.0725,23.075001,22.834999,22.965,142112000,51.76179230395395
2014-06-20,22.9625,23.137501,22.725,22.727501,403592000,41.21061262021292
